No.;Time;Comment;Scramble;Date;P.1
777;13.53;;F U2 F' D2 F' U2 F2 L2 F U2 F U2 L D' U2 R U R B F2 L';2026-06-27 18:51:31;13.53
778;15.12;;R D2 F2 D2 R2 F2 U2 R' F2 D2 L2 U' F' L B2 L' B U' R' U;2026-06-27 18:51:56;15.12
779;16.02;;R' F2 U' R D R' F B2 L2 D L2 U2 F2 L2 D' B2 R2 F2 R' D';2026-06-27 18:52:25;16.02
780;14.29;;L2 B' D' L' F2 L2 U2 F D' U2 B2 R2 F' U2 F2 U2 L2 U2 B2;2026-06-27 18:52:54;14.29
781;16.68;;F2 L' B2 D2 B2 L R B2 U2 L' D2 F' D' B' R2 D2 L B' D' U;2026-06-27 18:53:29;16.68
782;12.69;;L' B2 R2 D2 R F2 R' F2 U2 R D' F2 U2 R' B' F R B2 D2;2026-06-27 18:54:03;12.69
783;11.96;;F U' F L D2 U2 L R2 F2 R' U2 F2 U2 B' L' D' U L2 B2 F';2026-06-27 18:54:26;11.96
784;13.15;;D2 B' D2 B D2 F' D2 B R2 F U2 F2 L' F2 R' D2 B D R2 D2 U';2026-06-27 18:54:49;13.15
785;12.11;;R F2 D2 R2 D' U2 R2 B2 D L2 F2 D' R2 B' D F2 D2 L B' U;2026-06-27 18:55:15;12.11
786;14.32;;B2 L' F2 U R2 F' B2 D R F2 U2 B2 U2 L' U2 L' F2 B2 L2 F2;2026-06-27 18:55:36;14.32
787;15.38;;U L R2 F2 L2 B U2 F2 U2 F' R2 D2 U2 L' F' D U L R' F;2026-06-27 18:56:00;15.38
788;13.64;;R2 B U F L2 D' B2 L R2 U2 F' R2 L2 D2 B U2 L2 U2 F B U;2026-06-27 18:56:26;13.64
789;13.91;;U2 R2 U2 L' U F2 B' L' U F2 B' D2 F U2 R2 D2 R2 U2 B' U2 L2;2026-06-27 18:56:55;13.91
790;12.03;;R2 U L2 U2 F2 U R2 D2 L2 D' L2 F' L2 F' L2 F2 L R D B L';2026-06-27 18:57:20;12.03
791;11.00;;F2 U' R2 F2 L2 F2 U2 L2 D' F2 U' L B U' F' L' B L' U2 F2;2026-06-27 18:57:44;11.00
792;12.04;;U F' R2 D2 L2 R2 B U2 B2 F L2 F R' F' D R' F D' F' R;2026-06-27 18:58:05;12.04
793;13.21;;F' B2 U' F2 L2 D' F2 D R2 U' R2 D L' D L2 B2 U2 B;2026-06-27 18:58:27;13.21
794;15.35;;L2 F2 D2 F2 U R2 D' B2 R2 D' R F U2 F L' R' F' R' D L;2026-06-27 18:58:53;15.35
795;16.49;;F L D2 L2 B2 D R2 U' B2 L2 U2 L2 U2 L F R2 D2 F2 U L' D';2026-06-27 18:59:19;16.49
796;14.45;;R' L2 B' L F B' R' U' L2 U2 L2 U' R2 U' F2 L2 U2 R' B;2026-06-27 18:59:45;14.45
797;14.07;;R2 U B2 L' R' F2 R B2 L B2 R2 F2 D R2 B L2 D2 F2 U';2026-06-27 19:00:20;14.07
798;9.40;;U' F R' B2 L2 U2 R2 D2 U2 R B2 R' D2 F2 U' L2 D' B F2 D' F;2026-06-27 19:00:45;9.40
799;10.89;;B' R' L2 D2 F L B' R2 D' F' R2 D2 B' L2 U2 B2 U2 B D2;2026-06-27 19:01:04;10.89
800;14.67;;D2 R B2 D2 L F2 D2 L' R' D2 R' F2 D' U L' R2 B' R' U2 R2 F;2026-06-27 19:01:27;14.67
801;13.27;;L2 B2 L2 F2 U2 R2 U' B2 R2 B2 U2 L2 R' D F' L2 B L2 B2 L;2026-06-27 19:01:51;13.27
802;11.41;;B' R' D L2 U R F U B R F2 L' U2 D2 R' D2 R' B2 R U2 R;2026-06-27 19:02:14;11.41
803;10.55;;L' D2 L' D2 B2 R' B2 D2 R' D2 B2 D2 B D' L U' R' D L2 B U';2026-06-27 19:02:36;10.55
804;13.78;;F' R F2 L' B2 U2 B2 D2 L' R2 D2 R U F L' D R' F R B' R2;2026-06-27 19:03:06;13.78
